Machine,Month,Operater,Length
0,January,Rosita,91.3779668776973
0,January,Rosita,91.49098360970068
0,January,Rosita,91.44664944554084
0,January,Rosita,91.4122065529141
0,January,Rosita,91.43039849450587
0,January,Rosita,91.34387647264838
0,January,Rosita,91.58862332485434
0,January,Rosita,91.45408714031382
0,January,Rosita,91.47038716259674
0,January,Rosita,91.55630979432723
0,January,Rosita,91.38313073016111
0,January,Rosita,91.41356130571167
0,January,Rosita,91.37897749800157
0,January,Rosita,91.25709182408724
0,January,Rosita,91.49859037031402
0,January,Rosita,91.35042892118577
0,January,Rosita,91.38440327517974
0,January,Rosita,91.4981455849426
0,January,Rosita,91.54137878951501
0,January,Rosita,91.41951360352503
0,February,Rosita,91.45560223093673
0,February,Rosita,91.42454664602656
0,February,Rosita,91.58757048685332
0,February,Rosita,91.44853338115624
0,February,Rosita,91.38343024516556
0,February,Rosita,91.58079518549137
0,February,Rosita,91.5039712232312
0,February,Rosita,91.37845099394814
0,February,Rosita,91.51127320086799
0,February,Rosita,91.45839697030411
0,February,Rosita,91.66814987512316
0,February,Rosita,91.6456954564829
0,February,Rosita,91.64265457511728
0,February,Rosita,91.53042108191988
0,February,Rosita,91.48315962773592
0,February,Rosita,91.47573502808532
0,February,Rosita,91.59767685878946
0,February,Rosita,91.38147241220253
0,February,Rosita,91.57066680461126
0,February,Rosita,91.48557624127399
0,March,Rosita,91.57677830388232
0,March,Rosita,91.64223128781303
0,March,Rosita,91.74554151948723
0,March,Rosita,91.70624001334826
0,March,Rosita,91.8093714389123
0,March,Rosita,91.6172651107149
0,March,Rosita,91.63513222081801
0,March,Rosita,91.53289126763154
0,March,Rosita,91.6332379478524
0,March,Rosita,91.66205491199882
0,March,Rosita,91.79394461210015
0,March,Rosita,91.56771334403805
0,March,Rosita,91.84005110481816
0,March,Rosita,91.61662946663843
0,March,Rosita,91.93884748821063
0,March,Rosita,91.48986096140118
0,March,Rosita,91.66619517172803
0,March,Rosita,91.77305025059914
0,March,Rosita,91.59320471059381
0,March,Rosita,91.62518857624599
1,January,Fong,91.50935474571408
1,January,Fong,91.46669772813755
1,January,Fong,91.37017904341015
1,January,Fong,91.5280442880379
1,January,Fong,91.4876798263676
1,January,Fong,91.50783269451696
1,January,Fong,91.54271608231859
1,January,Fong,91.48513784152235
1,January,Fong,91.32503208596012
1,January,Fong,91.37468296019587
1,January,Fong,91.37256267003633
1,January,Fong,91.22691289880144
1,January,Fong,91.50422798164185
1,January,Fong,91.24146894270177
1,January,Fong,91.28271054569494
1,January,Fong,91.49089073085659
1,January,Fong,91.306115831128
1,January,Fong,91.41384588704183
1,January,Fong,91.49599583878428
1,January,Fong,91.54812712983045
1,February,Fong,91.46564748943914
1,February,Fong,91.29698911016882
1,February,Fong,91.38427503427593
1,February,Fong,91.46638667358899
1,February,Fong,91.56852151447313
1,February,Fong,91.55145848636207
1,February,Fong,91.35802826967146
1,February,Fong,91.39713044751777
1,February,Fong,91.28093113728158
1,February,Fong,91.49970127765748
1,February,Fong,91.47494993619634
1,February,Fong,91.40835828401445
1,February,Fong,91.39189240931182
1,February,Fong,91.3857310586778
1,February,Fong,91.36118090980604
1,February,Fong,91.5562928338075
1,February,Fong,91.58110533100258
1,February,Fong,91.52796441465618
1,February,Fong,91.41226927335352
1,February,Fong,91.57320906028912
1,March,Fong,91.52608977195813
1,March,Fong,91.39278444200468
1,March,Fong,91.55023797780535
1,March,Fong,91.31274757323591
1,March,Fong,91.37248601985965
1,March,Fong,91.30361905346828
1,March,Fong,91.31919989549505
